team,player,touches_for,touches_opp_box_for,passes_attempted_for,passes_completed_for,open_play_passes_for,passes_forward_for,passes_backward_for,passes_sideways_for,passes_opp_half_for,passes_own_half_for,crosses_attempted_for,crosses_completed_for,crosses_all_for,crosses_all_completed_for,long_passes_attempted_for,long_passes_completed_for,through_balls_for,passes_final_third_for,passes_final_third_completed_for,passes_from_final_third_for,passes_into_final_third_for,progressive_passes_for,passes_outside_own_third_for,corners_for,chances_created_for,assists_for,shots_for,shots_on_target_for,shots_off_target_for,shots_blocked_for,shots_in_box_for,shots_outside_box_for,shots_on_target_in_box_for,shots_on_target_outside_box_for,goals_for,goals_in_box_for,goals_outside_box_for,goals_from_shots_for,own_goals_for,own_goals_in_box_for,own_goals_outside_box_for,take_ons_for,take_ons_won_for,aerials_for,aerials_won_for,ground_duels_for,ground_duels_won_for,duels_contested_for,duels_won_for,smothers_for,tackles_for,interceptions_for,clearances_for,ball_recoveries_for,blocked_passes_for,pressing_actions_for,recovery_actions_for,pressing_actions_outside_own_third_for,missed_tackles_for,fouls_committed_for,fouls_won_for,possession_lost_for,sequences_for,sequence_passes_for,sequence_seconds_for,sequence_progress_m_for,sequence_length_m_for,sequence_start_x_m_for,build_up_attacks_for,direct_attacks_for,high_turnovers_for,high_turnover_shots_for,sequence_pressed_for,shot_ending_sequences_for,minutes,appearances,pass_accuracy_pct_for,cross_accuracy_pct_for,long_pass_accuracy_pct_for,shooting_accuracy_pct_for,cross_accuracy_all_pct_for,final_third_pass_accuracy_pct_for,conversion_pct_for,shot_conversion_pct_for,take_on_success_pct_for,aerial_success_pct_for,ground_duel_success_pct_for,duel_success_pct_for
Arsenal,Jurriën Timber,65,0,38,32,38,19,9,10,19,13,0,0,0,0,2,1,0,16,14,11,5,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,7,5,0,3,0,2,7,1,5,9,3,0,1,2,11,19.0,61.0,225.0,83.99999999999997,813.1424399364029,858.48,0.0,0.0,1.0,0.0,4.0,0.0,112.0,2,84.21,,50.0,,,87.5,,,0.0,,71.43,71.43
Arsenal,Kai Havertz,177,26,113,88,112,32,41,40,75,13,2,0,2,0,3,2,1,61,48,62,7,13,51,0,5,3,10,6,3,1,9,1,5,1,2,1,1,2,0,0,0,6,1,32,14,24,10,56,24,0,0,3,3,7,4,13,10,12,0,6,9,45,20.0,34.0,59.0,1.680000000000014,363.09443233496893,1068.9,0.0,0.0,3.0,0.0,2.0,0.0,464.0,5,77.88,0.0,66.67,66.67,0.0,78.69,20.0,20.0,16.67,43.75,41.67,42.86
Arsenal,Martin Ødegaard,299,16,241,219,232,93,58,90,154,65,6,1,6,1,12,6,3,103,86,93,18,48,148,0,11,8,7,2,1,4,4,3,2,0,2,2,0,2,0,0,0,8,2,3,0,24,14,27,14,0,6,1,4,12,1,11,16,9,1,2,6,32,32.0,127.0,275.0,321.09000000000003,1622.3998944344776,2073.225,0.0,1.0,3.0,1.0,1.0,6.0,377.0,5,90.87,16.67,50.0,66.67,16.67,83.5,28.57,28.57,25.0,0.0,58.33,51.85
Arsenal,Martín Zubimendi,107,9,67,55,66,29,18,20,38,17,0,0,0,0,4,2,0,19,14,11,4,9,56,0,0,0,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,4,19,9,0,4,4,2,3,4,16,5,8,1,3,0,20,37.0,112.0,322.0,410.6550000000001,1762.4596882796461,1774.08,1.0,1.0,0.0,0.0,9.0,2.0,125.0,5,82.09,,50.0,0.0,,73.68,0.0,0.0,,71.43,33.33,47.37
Arsenal,Max Dowman,5,0,3,3,3,0,3,0,3,0,0,0,1,1,0,0,0,3,3,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,-4.410000000000003,28.831270592882305,104.685,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1,100.0,,,,100.0,100.0,,,,,0.0,0.0
Arsenal,Mikel Merino,79,3,58,51,58,22,15,21,27,24,0,0,0,0,1,0,0,17,14,11,6,6,47,0,0,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,7,5,6,2,16,7,22,9,0,0,0,1,9,1,6,10,4,1,4,2,14,19.0,56.0,168.0,63.31500000000002,924.1506910354226,968.73,0.0,0.0,0.0,0.0,4.0,1.0,117.0,5,87.93,,0.0,100.0,,82.35,0.0,0.0,71.43,33.33,43.75,40.91
Arsenal,Myles Lewis-Skelly,226,5,192,179,184,59,34,99,105,74,0,0,0,0,7,4,1,50,43,33,15,17,159,0,2,2,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,2,20,8,22,10,0,1,1,2,8,3,13,10,12,0,8,7,22,27.0,129.0,345.0,312.58500000000004,1801.7764865604177,1448.265,0.0,0.0,0.0,0.0,2.0,2.0,275.0,4,93.23,,57.14,0.0,,86.0,0.0,0.0,0.0,100.0,40.0,45.45
Arsenal,Noni Madueke,27,0,18,16,18,4,9,5,16,0,1,0,1,0,0,0,0,14,12,16,0,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,2,5,3,0,1,0,0,2,0,1,2,1,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2,88.89,0.0,,,0.0,85.71,,,33.33,100.0,50.0,60.0
Arsenal,Piero Hincapié,27,1,16,15,16,7,5,4,8,7,1,0,1,0,0,0,0,4,4,2,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,2,0,2,3,2,2,0,0,0,2,8.0,34.0,108.0,68.67,591.9327087172592,370.335,0.0,0.0,0.0,0.0,1.0,1.0,42.0,2,93.75,0.0,,,0.0,100.0,,,,0.0,100.0,50.0
Arsenal,Riccardo Calafiori,211,15,135,111,134,50,35,50,63,48,3,0,3,0,4,2,0,50,40,46,8,21,89,0,3,3,7,1,2,4,6,1,1,0,0,0,0,0,0,0,0,1,0,14,9,14,7,28,16,0,6,1,10,13,2,14,23,7,2,3,1,29,75.0,318.0,889.0,452.44500000000005,4851.872646497542,3681.3,1.0,0.0,0.0,0.0,13.0,5.0,439.0,5,82.22,0.0,50.0,33.33,0.0,80.0,0.0,0.0,0.0,64.29,50.0,57.14
Arsenal,Viktor Gyökeres,13,0,8,6,8,4,1,3,4,2,0,0,0,0,0,0,1,6,4,4,2,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,1,0,0,0,0,1,0,4,1,4,0,4,1,4,3.0,4.0,8.0,35.7,54.99752355101822,179.23499999999999,0.0,0.0,0.0,0.0,1.0,1.0,41.0,2,75.0,,,,,66.67,,,,,20.0,20.0
Aston Villa,Aaron Wan-Bissaka,131,0,82,73,80,36,26,20,46,27,1,0,1,0,2,0,0,30,23,17,11,12,65,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,18,12,19,12,0,9,5,7,1,1,18,8,7,2,1,1,13,33.0,102.0,295.0,396.9000000000001,1585.7465405762214,1515.99,1.0,1.0,0.0,0.0,6.0,2.0,172.0,4,89.02,0.0,0.0,,0.0,76.67,,,50.0,0.0,66.67,63.16
Aston Villa,Alejandro Garnacho,22,0,16,15,15,1,12,3,11,4,0,0,0,0,0,0,0,5,4,10,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,3,1,0,0,0,0,2,1,1,2,1,0,0,0,4,5.0,24.0,52.0,-62.475,310.4982759957303,349.02,0.0,0.0,0.0,0.0,1.0,0.0,51.0,3,93.75,,,,,80.0,,,100.0,,33.33,33.33
Aston Villa,Alysson,50,5,31,25,31,3,17,11,21,4,0,0,0,0,1,1,0,10,5,13,1,1,18,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,5,1,3,1,11,4,14,5,0,2,0,2,4,3,7,6,5,1,1,1,13,7.0,20.0,54.0,62.685,338.7115040852033,464.31,0.0,0.0,1.0,0.0,1.0,0.0,113.0,4,80.65,,100.0,100.0,,50.0,100.0,100.0,20.0,33.33,36.36,35.71
Aston Villa,Boubacar Kamara,307,2,242,212,235,79,56,107,118,94,1,0,1,0,11,9,1,65,52,40,25,26,202,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,3,11,7,43,19,54,26,0,9,2,8,16,3,28,24,13,5,9,7,47,60.0,187.0,506.0,366.03000000000003,2570.938110499835,2649.465,0.0,1.0,2.0,0.0,17.0,4.0,466.0,5,87.6,0.0,81.82,0.0,0.0,80.0,0.0,0.0,37.5,63.64,44.19,48.15
Aston Villa,Emiliano Buendía,214,13,140,106,135,44,49,47,73,33,6,0,9,1,6,3,2,59,41,53,6,16,87,4,5,2,9,2,6,1,4,5,1,1,1,0,1,1,0,0,0,7,4,20,6,41,20,61,26,0,9,4,1,20,8,34,21,23,8,5,7,49,42.0,146.0,431.0,97.75499999999998,2187.1119972143024,2390.01,1.0,0.0,1.0,0.0,9.0,6.0,418.0,5,75.71,0.0,50.0,25.0,11.11,69.49,11.11,11.11,57.14,30.0,48.78,42.62
Aston Villa,George Hemmings,97,5,57,42,57,15,18,24,31,11,2,0,2,0,1,0,1,23,16,25,0,1,32,0,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,6,3,14,5,27,9,41,14,0,6,0,5,10,5,21,15,13,4,6,0,27,16.0,38.0,83.0,58.17000000000001,466.03037614016245,824.775,0.0,0.0,2.0,0.0,5.0,1.0,311.0,5,73.68,0.0,0.0,100.0,0.0,69.57,0.0,0.0,50.0,35.71,33.33,34.15
Aston Villa,Ian Maatsen,201,10,98,84,97,29,38,31,54,30,6,1,6,1,5,3,0,38,32,37,6,10,61,0,1,1,5,1,3,1,4,1,1,0,0,0,0,0,0,0,0,11,1,3,1,27,8,30,9,0,7,7,10,10,3,24,20,8,2,5,0,32,62.0,161.0,546.0,510.50999999999993,2223.9111050474003,2669.835,1.0,2.0,0.0,0.0,14.0,4.0,350.0,4,85.71,16.67,60.0,25.0,16.67,84.21,0.0,0.0,9.09,33.33,29.63,30.0
Aston Villa,Ibrahim Mbaye,19,2,10,8,9,4,3,3,6,2,1,1,1,1,0,0,0,5,4,4,1,2,6,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,7,1,0,1,0,0,1,0,4,1,4,1,2,0,6,2.0,4.0,11.0,-8.085,65.66578602525729,170.625,0.0,0.0,1.0,0.0,0.0,1.0,49.0,2,80.0,100.0,,100.0,100.0,80.0,0.0,0.0,0.0,,14.29,14.29
Aston Villa,Johan Manzambi,56,5,28,24,28,12,5,11,15,9,0,0,0,0,2,1,2,8,8,8,2,4,20,0,2,2,4,2,1,1,3,1,2,0,1,1,0,1,0,0,0,7,1,0,0,11,5,11,5,0,2,0,1,5,1,3,6,3,0,0,2,16,7.0,13.0,57.0,142.38,273.6438911636992,375.06000000000006,0.0,1.0,0.0,0.0,0.0,2.0,105.0,2,85.71,,50.0,66.67,,100.0,25.0,25.0,14.29,,45.45,45.45
Aston Villa,John McGinn,213,5,118,87,109,54,34,30,63,24,10,2,19,2,18,6,0,60,39,49,9,18,69,8,6,4,4,0,4,0,1,3,0,0,0,0,0,0,0,0,0,13,2,4,1,53,21,57,22,0,5,5,3,17,2,20,20,13,2,6,14,63,53.0,90.0,250.0,566.895,1413.313812727209,3313.275,1.0,1.0,2.0,0.0,8.0,6.0,452.0,5,73.73,20.0,33.33,0.0,10.53,65.0,0.0,0.0,15.38,25.0,39.62,38.6
Aston Villa,João Gomes,73,0,40,38,38,13,8,19,17,21,0,0,0,0,2,2,0,10,10,7,4,6,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,26,14,27,14,0,9,3,2,5,3,22,7,8,2,5,2,9,18.0,42.0,166.0,140.59499999999997,813.2574236423563,829.815,0.0,0.0,2.0,1.0,4.0,2.0,193.0,2,95.0,,100.0,,,100.0,,,60.0,0.0,53.85,51.85
Aston Villa,Lamare Bogarde,4,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,59.745,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1,100.0,,,,,100.0,,,,50.0,,50.0
Aston Villa,Marco Bizot,38,0,29,18,16,25,0,4,0,18,0,0,0,0,19,8,0,3,2,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,17.0,35.0,124.0,347.865,551.7323954981401,119.91,1.0,0.0,0.0,0.0,3.0,0.0,95.0,1,62.07,,42.11,,,66.67,,,,,,
Aston Villa,Matteo Ruggeri,94,0,55,51,55,21,20,14,23,28,4,0,4,0,6,3,0,11,11,13,3,4,42,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,7,4,8,5,0,2,6,8,11,3,12,19,2,1,0,1,7,20.0,87.0,229.0,210.315,1287.8016364090754,779.4150000000001,0.0,1.0,0.0,0.0,3.0,2.0,131.0,3,92.73,0.0,50.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,57.14,62.5
Aston Villa,Matty Cash,186,5,122,100,116,45,52,25,62,38,1,0,1,0,15,3,1,44,31,30,12,16,92,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,22,12,26,13,0,6,1,11,2,3,19,13,7,3,6,6,26,51.0,179.0,509.0,628.32,2896.0486921937486,2320.92,0.0,0.0,0.0,0.0,4.0,4.0,309.0,4,81.97,0.0,20.0,,0.0,70.45,0.0,0.0,0.0,25.0,54.55,50.0
Aston Villa,Nicolas Jackson,109,16,50,42,50,12,19,19,34,8,3,1,3,1,1,1,1,22,17,27,0,5,23,0,2,2,8,2,4,2,5,3,2,0,1,1,0,1,0,0,0,22,11,4,3,30,13,34,16,0,0,0,1,8,1,3,9,3,0,2,2,31,15.0,28.0,105.0,65.41499999999999,533.9976103000408,1086.435,0.0,0.0,3.0,2.0,0.0,3.0,286.0,4,84.0,33.33,100.0,33.33,33.33,77.27,12.5,12.5,50.0,75.0,43.33,47.06
Aston Villa,Pau Torres,121,1,104,84,89,45,27,32,21,63,1,0,1,0,13,4,0,14,9,2,8,12,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,2,10,4,0,1,1,8,9,0,6,17,3,2,2,1,21,36.0,129.0,366.0,401.73,2006.751275409958,887.88,1.0,1.0,0.0,0.0,13.0,0.0,196.0,3,80.77,0.0,30.77,,0.0,64.29,,,,50.0,33.33,40.0
Aston Villa,Ross Barkley,263,4,205,185,201,67,40,98,121,64,0,0,0,0,5,4,1,56,49,44,18,25,161,1,4,2,7,1,3,3,4,3,0,1,0,0,0,0,0,0,0,6,4,10,3,37,15,47,18,0,7,0,4,16,4,18,20,8,3,4,4,36,54.0,230.0,790.0,174.93000000000006,3553.9053665656224,2852.955,0.0,0.0,2.0,1.0,10.0,5.0,320.0,5,90.24,,80.0,25.0,,87.5,0.0,0.0,66.67,30.0,40.54,38.3
Aston Villa,Tammy Abraham,24,1,18,12,18,2,9,7,8,4,0,0,0,0,0,0,0,4,2,5,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,3,2,8,4,0,1,0,0,1,0,1,1,0,0,0,0,10,7.0,12.0,23.0,-9.345000000000006,154.69375910854205,333.58500000000004,0.0,0.0,0.0,0.0,2.0,0.0,100.0,4,66.67,,,,,50.0,,,50.0,40.0,66.67,50.0
Aston Villa,Tyrone Mings,193,4,160,144,150,77,32,51,45,99,0,0,0,0,9,4,0,22,17,12,9,16,148,0,0,0,4,0,2,2,3,1,0,0,0,0,0,0,0,0,0,3,2,11,7,11,8,22,15,0,4,2,16,7,0,8,23,2,0,2,2,17,32.0,118.0,326.0,395.43,1730.3455733421642,1005.0600000000001,0.0,0.0,0.0,0.0,6.0,1.0,285.0,4,90.0,,44.44,0.0,,77.27,0.0,0.0,66.67,63.64,72.73,68.18
Aston Villa,Victor Lindelöf,308,3,276,255,265,139,46,91,67,188,0,0,0,0,14,7,0,31,27,8,20,22,268,0,3,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,9,2,4,1,13,3,0,1,1,19,7,1,5,26,3,1,1,0,24,46.0,213.0,648.0,801.1499999999999,3380.1821911551233,1588.02,1.0,0.0,0.0,0.0,14.0,4.0,481.0,5,92.39,,50.0,100.0,,87.1,0.0,0.0,,22.22,25.0,23.08
Aston Villa,Zion Suzuki,205,0,149,101,112,118,0,31,0,101,0,0,0,0,73,27,0,44,11,0,11,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,0,5,9,0,0,14,0,0,0,2,48,74.0,330.0,1217.0,2214.45,5661.285840953935,652.155,2.0,1.0,0.0,0.0,11.0,2.0,386.0,4,67.79,,36.99,,,25.0,,,,,100.0,100.0
Bournemouth,Adam Smith,230,1,125,96,123,61,42,22,48,48,4,2,4,2,25,10,0,39,24,13,19,19,112,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,10,6,28,14,38,20,0,5,4,13,15,3,24,28,17,5,7,8,36,100.0,270.0,573.0,679.56,3832.5022383710993,4936.575,1.0,1.0,0.0,0.0,11.0,6.0,454.0,5,76.8,50.0,40.0,,50.0,61.54,0.0,0.0,33.33,60.0,50.0,52.63
Bournemouth,Adrien Truffert,330,7,185,159,183,79,66,40,82,77,18,3,22,4,16,9,0,63,50,51,20,27,134,0,4,4,4,2,1,1,1,3,1,1,0,0,0,0,0,0,0,6,3,13,6,48,23,61,29,0,17,7,21,24,2,44,45,20,7,11,3,42,103.0,308.0,833.0,982.065,4767.44838946331,4501.139999999999,0.0,2.0,0.0,0.0,23.0,4.0,474.0,5,85.95,16.67,56.25,66.67,18.18,79.37,0.0,0.0,50.0,46.15,47.92,47.54
Bournemouth,Alex Scott,357,15,250,204,233,119,73,58,111,93,4,0,15,2,36,16,0,84,56,55,26,39,195,10,11,5,7,1,2,4,2,5,1,0,1,1,0,1,0,0,0,10,4,8,3,52,30,60,33,0,9,8,7,36,7,35,43,24,7,4,17,63,83.0,251.0,613.0,325.18499999999995,3688.3957783260244,5143.74,1.0,2.0,3.0,0.0,13.0,7.0,465.0,5,81.6,0.0,44.44,33.33,13.33,66.67,14.29,14.29,40.0,37.5,57.69,55.0
Bournemouth,Alex Tóth,20,0,14,13,13,6,5,3,9,4,0,0,0,0,1,0,0,5,4,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,5,1,0,1,0,0,1,0,1,1,0,0,0,0,3,5.0,35.0,94.0,-6.089999999999996,565.9222498170053,265.755,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2,92.86,,0.0,,,80.0,,,0.0,0.0,33.33,20.0
Bournemouth,António Silva,324,8,249,217,230,141,41,67,56,161,0,0,0,0,32,20,1,52,43,18,31,49,231,0,0,0,4,1,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,28,18,12,6,40,24,0,5,8,41,14,0,19,55,10,3,3,1,35,79.0,193.0,428.0,833.8050000000001,2670.012886230123,2662.59,1.0,2.0,1.0,0.0,20.0,4.0,474.0,5,87.15,,62.5,25.0,,82.69,0.0,0.0,,64.29,50.0,60.0
Bournemouth,Ben Gannon-Doak,27,4,17,15,17,6,7,4,12,3,3,0,3,0,3,2,0,10,9,12,1,4,5,0,0,0,3,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,4,3,5,3,0,2,0,0,5,0,2,5,2,0,0,0,3,3.0,8.0,25.0,-12.81000000000001,118.29758109793951,237.92999999999998,0.0,0.0,2.0,1.0,0.0,2.0,36.0,4,88.24,0.0,66.67,0.0,0.0,90.0,0.0,0.0,100.0,0.0,75.0,60.0
Bournemouth,Daniel Jebbison,20,3,8,8,8,2,3,3,8,0,2,0,2,0,0,0,0,4,4,5,0,2,3,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,2,0,0,0,0,1,0,0,1,0,0,0,2,5,3.0,4.0,4.0,-30.240000000000002,48.879081879596306,215.67,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3,100.0,0.0,,100.0,0.0,100.0,0.0,0.0,,0.0,66.67,50.0
Bournemouth,David Brooks,39,1,26,18,26,11,3,12,16,2,0,0,1,0,0,0,0,19,14,18,2,5,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,1,7,1,0,0,0,1,3,2,5,4,5,0,3,1,11,8.0,18.0,42.0,-15.225000000000012,249.67088308231462,516.39,0.0,0.0,0.0,0.0,1.0,0.0,68.0,4,69.23,,,,0.0,73.68,,,0.0,0.0,16.67,14.29
